50 Cent,In Da Club
Beyonce,Crazy in Love
Eminem,Lose Yourself
Eminem,Without Me
Fergie,Big Girls Don't Cry
Flo-Rida & T-Pain,Low
Justin Timberlake,Sexyback
Katy Perry,I Kissed A Girl
Kylie Minogue,Can't Get You Out of My Head
Lady GaGa,Poker Face
Leona Lewis,Bleeding Love
Madonna,Hung Up
Nelly & Kelly Rowland,Dilemma
OutKast,Hey Ya!
Rihanna & Jay-Z,Umbrella
Shakira & Wyclef Jean,Hips don't lie
Shakira,Whenever Wherever
The Black Eyed Peas,I Gotta Feeling
The Black Eyed Peas,Where is the Love?
Usher,Yeah!
